ticketCompany,status,ticketFormat,title,venue,prefecture,liveDate,liveDateRaw,seatInfo,price,ticketCount,paymentDeadline,ticketingDeadline,sourceUrl,sourceMessageId,receivedAt
e+,payment_pending,digital,meiyo,下北沢シャングリラ,東京,2025-11-28,2025/11/28(金)  18:30開場 19:30開演,数,,1,】までにお手続きください。,,,<CAByF2H0Usc7LDemAaCVq7ssZrD8D3BW2_JAr3HxdHjcYOM6jkA@mail.gmail.com>,2026-06-15T09:58:39+09:00
ローチケ,payment_pending,digital,すりぃ,KT Zepp Yokohama,神奈川,2026-03-03,2026/3/3(火),,6900,1,ただいまより、2026/2/2(月) 23:00まで,,,<CAByF2H23A+NqCRrJhZHoyyVFREL=wH6R_m-_Cpqd0WYNxGqxQQ@mail.gmail.com>,2026-06-15T09:58:13+09:00
e+,payment_pending,digital,CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2026,横浜赤レンガ倉庫 赤レンガパーク特設会場,神奈川,2026-04-04,2026/04/04(土)  11:00開場 12:30開演,数,,1,】までにお手続きください。,,,<CAByF2H3cdB=SBoCby_+fr3Mss1Kc1cYX8xeus-RJieKMyf0gWQ@mail.gmail.com>,2026-06-15T09:58:00+09:00
e+,lottery_lost,digital,SHISHAMO,等々力陸上競技場,,2026-06-13,2026/06/13(土)  15:00開場 17:00開演,数,,1,,,,<CAByF2H00vOxOfQGSQYVzJ+3rRvBa4PK5M8HSi8dbQwS1XJSd0w@mail.gmail.com>,2026-06-15T09:57:23+09:00
ぴあ,payment_pending,digital,Dannie May/NEE,渋谷CLUB QUATTRO(東京都),東京都,2026-07-30,2026年7月30日(木) 19:00開演,"オールスタンディング 4,800円 1枚",5625,1,2026年6月14日(日) 23:59,,,<CAByF2H2YZOtOEzhMqKdBB1Th=_mtq=BHVk4F9L-5O9Uq4MiK5A@mail.gmail.com>,2026-06-15T09:57:33+09:00
転送,payment_pending,paper,,,,,,,,1,,,,<CAByF2H3g6e0mYsAAdiKQ=KiMzUtPHygpXgW4SMx10nJrYhr35Q@mail.gmail.com>,2026-06-15T09:54:47+09:00
LivePocket,lottery_lost,digital,前髪ぱっつん少年,渋谷FOWS,東京都,2025-12-25,2025年12月25日(木) 18:30開演,"スタンディング(一般) 3,500円 1枚",4325,1,(2024年12月29日(日) 23:59)までに、申込み時に選択したコンビニ店,】,https://u.livepocket.jp/xjP0d8,<CAGYTR6+Cocq6PaLz4dHrHA0zU2=yn7K4UTzg1gOSV6FhiSB7yA@mail.gmail.com>,2026-06-16T22:20:10+09:00
e+,print_pending,paper,MAISONdes LIVE,KT Zepp Yokohama,神奈川,2026-06-06,2026/06/06(土)  17:00開場 18:00開演,"料金 : 1Fスタンディング \6,800×2枚[チケット料金]+\550×2枚",,2,,2026/05/30(土) 14:00 〜 2026/06/07(日) 21:0,,<1780466814000.20260603.18.19230282.0.00000000@bma.eplus.jp>,2026-06-03T15:14:54+09:00
e+,unknown,paper,MAISONdes LIVE,KT Zepp Yokohama,神奈川,2026-06-06,2026/06/06(土)  17:00開場 18:00開演,"料金・枚数 : 1Fスタンディング \6,800×2枚",,2,,,,<1780631892000.20260605.73.19571386.0.00000000@bma.eplus.jp>,2026-06-05T13:10:15+09:00
e+,print_pending,paper,MAISONdes LIVE,KT Zepp Yokohama,神奈川,2026-06-06,2026/06/06(土)  17:00開場 18:00開演,"料金 : 1Fスタンディング \6,800×2枚[チケット料金]+\550×2枚",,2,,2026/05/30(土) 14:00 〜 2026/06/07(日) 21:0,,<1780106400000.20260530.20.18156686.0.00000000@bma.eplus.jp>,2026-05-30T11:03:56+09:00
e+,print_pending,paper,ロクデナシ,Kanadevia Hall,,2026-04-17,2026/04/17(金)  18:00開場 19:00開演,"料金 : アリーナ立見 \8,500×2枚[チケット料金]+\550×2枚[サー",,2,,2026/04/10(金) 14:00 〜 2026/04/18(土) 21:0,,<1776146682000.20260414.18.86864705.0.00000000@bma.eplus.jp>,2026-04-14T15:11:00+09:00
e+,lottery_lost,paper,MAISONdes LIVE,KT Zepp Yokohama,神奈川,2026-06-06,2026/06/06(土)  17:00開場 18:00開演,数,,2,,2026/05/30(土) 14:00 〜 2026/06/07(日) 21:0,,<1776918782000.20260423.02.88649252.0.00000000@bma.eplus.jp>,2026-04-23T13:41:39+09:00
e+,lottery_won,unknown,,,,,,,,,,,,<86e7af82-c5f4-4a1d-bb80-1856483b9c13@fc8471-d.cuenote.jp>,2026-04-06T18:00:59+09:00
e+,unknown,paper,CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2026,横浜赤レンガ倉庫 赤レンガパーク特設会場,神奈川,2026-04-05,2026/04/05(日)  11:00開場 12:30開演,"料金・枚数 : スタンディング \12,000×2枚",,2,,,,<1775451296000.20260406.73.84913295.0.00000000@bma.eplus.jp>,2026-04-06T14:26:34+09:00
e+,payment_pending,paper,MAISONdes LIVE,KT Zepp Yokohama,神奈川,2026-06-06,2026/06/06(土)  17:00開場 18:00開演,数,,2,,2026/05/30(土) 14:00 〜 2026/06/07(日) 21:0,,<1775401706000.20260406.01.84834227.0.00000000@bma.eplus.jp>,2026-04-06T00:08:28+09:00
e+,print_pending,paper,ロクデナシ,Kanadevia Hall,,2026-04-17,2026/04/17(金)  18:00開場 19:00開演,"料金 : アリーナ立見 \8,500×2枚[チケット料金]+\550×2枚[サー",,2,,2026/04/10(金) 14:00 〜 2026/04/18(土) 21:0,,<1775786400000.20260410.20.85558979.0.00000000@bma.eplus.jp>,2026-04-10T11:02:38+09:00
e+,lottery_won,unknown,,,,,,,,,,,,<69c91fda-1c62-4d8d-9efc-f9436d8facc2@fc8471-c.cuenote.jp>,2026-04-30T17:10:08+09:00
e+,payment_pending,paper,CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2026,横浜赤レンガ倉庫 赤レンガパーク特設会場,神奈川,2026-04-05,2026/04/05(日)  11:00開場 12:30開演,数,,2,,2026/04/01(水) 14:00 〜 2026/04/06(月) 21:0,,<1769268100000.20260125.01.65373972.0.00000000@bma.eplus.jp>,2026-01-25T00:21:41+09:00
e+,lottery_lost,paper,Aooo,Zepp Haneda(TOKYO),,2026-05-29,2026/05/29(金)  18:00開場 19:00開演,数,,2,,,,<1771044537000.20260214.03.71278546.0.00000000@bma.eplus.jp>,2026-02-14T14:55:21+09:00
e+,ticket_secured,digital,NOMELON NOLEMON,EX THEATER ROPPONGI,,2026-02-13,2026/02/13 (金)  19:00 開演,,,,,,,<1770953485157.20260213.X3.X1568194.0.00000000@bma.eplus.jp>,2026-02-13T12:31:25+09:00
e+,payment_pending,digital,meiyo,東京キネマ倶楽部,東京,2026-09-25,2026/09/25(金)  18:00開場 19:00開演,数,,2,,,,<1772512384000.20260303.02.76118417.0.00000000@bma.eplus.jp>,2026-03-03T13:51:19+09:00
e+,payment_pending,digital,meiyo,東京キネマ倶楽部,東京,2026-09-25,2026/09/25(金)  18:00開場 19:00開演,数,,2,,,,<1772366220000.20260301.01.75752448.0.00000000@bma.eplus.jp>,2026-03-01T20:57:02+09:00
e+,ticket_secured,digital,NOMELON NOLEMON,EX THEATER ROPPONGI,,2026-02-13,2026/02/13(金)  18:00開場 19:00開演,"料金 : 1Fスタンディング \6,600×1枚[チケット料金]",,1,】までにお手続きください。,,,<1770827592000.20260212.10.70535822.0.00000000@bma.eplus.jp>,2026-02-12T01:33:13+09:00
e+,payment_pending,paper,CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2026,横浜赤レンガ倉庫 赤レンガパーク特設会場,神奈川,2026-04-05,2026/04/05(日)  11:00開場 12:30開演,数,,2,,2026/04/01(水) 14:00 〜 2026/04/06(月) 21:0,,<1770439748000.20260207.02.69221589.0.00000000@bma.eplus.jp>,2026-02-07T15:08:05+09:00
e+,print_pending,paper,CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2026,横浜赤レンガ倉庫 赤レンガパーク特設会場,神奈川,2026-04-05,2026/04/05(日)  11:00開場 12:30開演,"料金 : スタンディング \12,000×2枚[チケット料金]+\660×2枚[",,2,,2026/04/01(水) 14:00 〜 2026/04/06(月) 21:0,,<1775110301000.20260402.18.83843709.0.00000000@bma.eplus.jp>,2026-04-02T15:28:34+09:00
e+,print_pending,paper,CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2026,横浜赤レンガ倉庫 赤レンガパーク特設会場,神奈川,2026-04-05,2026/04/05(日)  11:00開場 12:30開演,"料金 : スタンディング \12,000×2枚[チケット料金]+\660×2枚[",,2,,2026/04/01(水) 14:00 〜 2026/04/06(月) 21:0,,<1775008800000.20260401.20.83504508.0.00000000@bma.eplus.jp>,2026-04-01T11:00:30+09:00
e+,payment_pending,digital,サカナクション,SGCホール有明,,2026-04-18,2026/04/18(土)  17:00開場 18:00開演,数,,2,,,,<1769859819000.20260131.01.67265720.0.00000000@bma.eplus.jp>,2026-01-31T20:43:41+09:00
e+,unknown,paper,ロクデナシ,Kanadevia Hall,,2026-04-17,2026/04/17(金)  18:00開場 19:00開演,"料金 : アリーナ立見 \8,500×2枚[チケット料金]+\550×2枚[サー",,2,,2026/04/10(金) 14:00 〜 2026/04/18(土) 21:0,,<1769276502000.20260125.10.65384736.0.00000000@bma.eplus.jp>,2026-01-25T02:41:42+09:00
e+,ticket_secured,digital,meiyo,下北沢シャングリラ,東京,2025-11-28,2025/11/28 (金) 19:30 開演,,,,,,,<1764133330953.20251126.X2.38370698.0.00000000@bma.eplus.jp>,2025-11-26T14:02:10+09:00
e+,ticket_secured,digital,ロクデナシ<追加公演>,豊洲PIT,,2025-09-11,2025/09/11 (木) 19:00 開演,,,,,,,<1757394128487.20250909.X2.36195931.0.00000000@bma.eplus.jp>,2025-09-09T14:02:08+09:00
e+,ticket_secured,digital,ロクデナシ <追加公演>,豊洲PIT,,2025-09-11,2025/09/11 (木) 19:00 開演,,,,,,,<1756965711864.20250904.X1.36096257.0.00000000@bma.eplus.jp>,2025-09-04T15:01:51+09:00
e+,print_pending,paper,RuLu 2nd ONEMAN LIVE 「年貢」,渋谷REX,東京,2025-08-13,2025/08/13(水)  18:00OPEN 19:00START,"料金 : オールスタンディング \4,800×1枚[チケット料金]",,1,,2025/06/24(火) 23:22 〜 2025/08/14(木) 21:0,,<1754806182000.20250810.18.22171122.0.00000000@bma.eplus.jp>,2025-08-10T15:17:00+09:00
e+,ticket_secured,digital,FAVOY TOKYO -電鈴合図-,Zepp Shinjuku (TOKYO),,2025-08-08,2025/08/08 (金) 17:15 開演,,,,,,,<1754460094927.20250806.X1.35322571.0.00000000@bma.eplus.jp>,2025-08-06T15:01:34+09:00
e+,payment_pending,digital,Aooo,Zepp Haneda(TOKYO),,2026-05-29,2026/05/29(金)  18:00開場 19:00開演,数,,2,,,,<1769512842000.20260127.01.65894277.0.00000000@bma.eplus.jp>,2026-01-27T20:20:43+09:00
e+,ticket_secured,digital,meiyo,下北沢シャングリラ,東京,2025-11-28,2025/11/28 (金) 19:30 開演,,,,,,,<1763704825458.20251121.X1.38230057.0.00000000@bma.eplus.jp>,2025-11-21T15:00:25+09:00
e+,unknown,paper,RuLu 2nd ONEMAN LIVE 「年貢」,渋谷REX,東京,2025-08-13,2025/08/13(水)  18:00OPEN 19:00START,"料金・枚数 : オールスタンディング \4,800×1枚",,1,,,,<1755146223000.20250814.73.22969782.0.00000000@bma.eplus.jp>,2025-08-14T14:08:37+09:00
e+,ticket_secured,digital,FAVOY TOKYO -電鈴合図-,Zepp Shinjuku (TOKYO),,2025-08-07,2025/08/07 (木) 18:00 開演,,,,,,,<1754373800229.20250805.X1.35299639.0.00000000@bma.eplus.jp>,2025-08-05T15:03:20+09:00
e+,ticket_secured,digital,"若者のすべて-YOUNG, ALIVE, IN LOVE MUSIC-#06",Zepp Haneda(TOKYO),,2025-08-06,2025/08/06 (水) 14:30 開演,,,,,,,<1754283722264.20250804.X2.35286727.0.00000000@bma.eplus.jp>,2025-08-04T14:02:02+09:00
e+,ticket_secured,digital,"若者のすべて -YOUNG, ALIVE, IN LOVE MUSIC-#06",Zepp Haneda(TOKYO),,2025-08-06,2025/08/06 (水) 14:30 開演,,,,,,,<1753855325554.20250730.X1.35160934.0.00000000@bma.eplus.jp>,2025-07-30T15:02:05+09:00
e+,payment_pending,digital,ロクデナシ,豊洲PIT,,2025-09-11,2025/09/11(木)  18:00開場 19:00開演,数,,1,,,,<1752208876000.20250711.02.14807831.0.00000000@bma.eplus.jp>,2025-07-11T14:09:19+09:00
e+,payment_pending,digital,meiyo,下北沢シャングリラ,東京,2025-11-28,2025/11/28(金)  18:30開場 19:30開演,数,,1,,,,<1750826226000.20250625.02.10450906.0.00000000@bma.eplus.jp>,2025-06-25T13:53:56+09:00
e+,payment_pending,digital,ロクデナシ,豊洲PIT,,2025-09-11,2025/09/11(木)  18:00開場 19:00開演,数,,1,,,,<1750602653000.20250622.01.89850157.0.00000000@bma.eplus.jp>,2025-06-22T23:30:55+09:00
e+,unknown,paper,RuLu 2nd ONEMAN LIVE 「年貢」,渋谷REX,東京,2025-08-13,2025/08/13(水)  18:00OPEN 19:00START,"料金 : オールスタンディング \4,800×1枚[チケット料金]",,1,,2025/06/24(火) 23:22 〜 2025/08/14(木) 21:0,,<1750602249000.20250622.10.89847491.0.00000000@bma.eplus.jp>,2025-06-22T23:24:11+09:00
e+,payment_pending,digital,meiyo,下北沢シャングリラ,東京,2025-11-28,2025/11/28(金)  18:30開場 19:30開演,数,,1,,,,<1749954597000.20250615.01.87787175.0.00000000@bma.eplus.jp>,2025-06-15T11:29:59+09:00
e+,lottery_lost,paper,ロクデナシ,LINE CUBE SHIBUYA(渋谷公会堂),東京,2025-09-07,2025/09/07(日)  17:00開場 18:00開演,数,,1,,,,<1746161099000.20250502.03.76449574.0.00000000@bma.eplus.jp>,2025-05-02T14:39:14+09:00
e+,payment_pending,digital,若者のすべて,Zepp Haneda(TOKYO),,2025-08-06,2025/08/06(水)  13:30開場 14:30開演,数,,1,,,,<1745383027000.20250423.02.74089567.0.00000000@bma.eplus.jp>,2025-04-23T13:59:13+09:00
e+,ticket_secured,digital,,,,,,を変えて第2希望までエントリーできます。,,1,,,,<db047ec1-c78e-4d60-b9c4-6a16cb8ceab5@fc8471-c.cuenote.jp>,2025-04-18T14:12:45+09:00
e+,payment_pending,digital,FAVOY TOKYO,Zepp Shinjuku (TOKYO),,2025-08-08,2025/08/08(金)  16:30開場 17:15開演,数,,1,,,,<1744691983000.20250415.02.71984743.0.00000000@bma.eplus.jp>,2025-04-15T14:18:45+09:00
e+,payment_pending,digital,ロクデナシ,LINE CUBE SHIBUYA(渋谷公会堂),東京,2025-09-07,2025/09/07(日)  17:00開場 18:00開演,数,,1,,,,<1744206175000.20250409.01.70193242.0.00000000@bma.eplus.jp>,2025-04-09T22:42:58+09:00
e+,payment_pending,digital,FAVOY TOKYO,Zepp Shinjuku (TOKYO),,2025-08-08,2025/08/08(金)  16:30開場 17:15開演,数,,1,,,,<1744113391000.20250408.01.69938403.0.00000000@bma.eplus.jp>,2025-04-08T20:56:32+09:00
e+,lottery_won,unknown,,,,,,,,,,,,<9ea99507-dbd5-4596-8fad-c1ade65132af@fc8471-b.cuenote.jp>,2025-04-07T18:03:28+09:00
e+,unknown,paper,CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2025,横浜赤レンガ倉庫 赤レンガパーク特設会場,神奈川,2025-04-05,2025/04/05(土)  11:00開場 13:00開演,"料金・枚数 : スタンディング \11,000×2枚",,2,,,,<1743916888000.20250406.73.69364679.0.00000000@bma.eplus.jp>,2025-04-06T14:53:22+09:00
e+,ticket_secured,digital,ロクデナシロクデナシ 1st Oneman Live「思い出にならないように」,Zepp Shinjuku,,2025-03-21,2025/03/21 (金) 19:00 開演,,,,,,,<1742360538385.20250319.X2.31830753.0.00000000@bma.eplus.jp>,2025-03-19T14:02:18+09:00
e+,ticket_secured,digital,ロクデナシ ロクデナシ 1st Oneman Live「思い出にならないように」,Zepp Shinjuku,,2025-03-21,2025/03/21 (金) 19:00 開演,,,,,,,<1741932045610.20250314.X1.31708724.0.00000000@bma.eplus.jp>,2025-03-14T15:00:45+09:00
e+,unknown,paper,CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2025,横浜赤レンガ倉庫 赤レンガパーク特設会場,神奈川,2025-04-05,2025/04/05(土)  11:00開場 13:00開演,"料金 : スタンディング \11,000×2枚[チケット料金]+\660×2枚[",,2,,2025/04/01(火) 14:00 〜 2025/04/06(日) 21:0,,<1741862378000.20250313.10.62993623.0.00000000@bma.eplus.jp>,2025-03-13T19:39:38+09:00
e+,ticket_secured,digital,OSU ENCOUNTER,Electric Lady Land,,2025-02-24,2025/02/24 (月) 15:00 開演,,,,,,,<1738476176803.20250202.X1.30821562.0.00000000@bma.eplus.jp>,2025-02-02T15:02:56+09:00
e+,payment_pending,digital,OSU ENCOUNTER,Electric Lady Land,,2025-02-24,2025/02/24(月・祝)  14:00開場 15:00開演,数,,1,,,,<1738038958000.20250128.02.51044371.0.00000000@bma.eplus.jp>,2025-01-28T14:03:21+09:00
e+,payment_pending,digital,OSU ENCOUNTER,Electric Lady Land,,2025-02-24,2025/02/24(月・祝)  14:00開場 15:00開演,数,,1,,,,<1737473188000.20250122.01.49415709.0.00000000@bma.eplus.jp>,2025-01-22T00:26:28+09:00
e+,unknown,paper,meiyo,WWW,東京,2024-12-11,2024/12/11(水)  18:30開場 19:30開演,"料金・枚数 : スタンディング \4,000×1枚",,1,,,,<1733978758000.20241212.73.41174834.0.00000000@bma.eplus.jp>,2024-12-12T14:18:36+09:00
e+,unknown,paper,新宿LOFT歌舞伎町移転25周年記念,新宿 LOFT,東京,2024-10-29,2024/10/29(火)  18:15開場 19:00開演,"料金・枚数 : オールスタンディング \4,200×1枚",,1,,,,<1730261333000.20241030.73.30619804.0.00000000@bma.eplus.jp>,2024-10-30T13:23:16+09:00
e+,ticket_secured,digital,長瀬有花×アザミ,WWW,東京,2024-11-02,2024/11/02 (土) 19:30 開演,,,,,,,<1730350993198.20241031.X2.28768743.0.00000000@bma.eplus.jp>,2024-10-31T14:03:13+09:00
e+,ticket_secured,digital,長瀬有花×アザミ,WWW,東京,2024-11-02,2024/11/02 (土) 19:30 開演,,,,,,,<1730095204179.20241028.X1.28676956.0.00000000@bma.eplus.jp>,2024-10-28T15:00:04+09:00
e+,ticket_secured,digital,紫 今,UNIT(代官山),,2024-10-24,2024/10/24 (木) 19:30 開演,,,,,,,<1729573334293.20241022.X2.28533536.0.00000000@bma.eplus.jp>,2024-10-22T14:02:14+09:00
e+,payment_pending,digital,ロクデナシ,Zepp Shinjuku,,2025-03-21,2025/03/21(金)  18:00開場 19:00開演,数,,1,,,,<1729315856000.20241019.02.28314298.0.00000000@bma.eplus.jp>,2024-10-19T17:51:08+09:00
e+,ticket_secured,digital,ReoNa,東京ガーデンシアター,東京,2024-10-20,2024/10/20 (日) 18:00 開演,,,,,,,<1729227805563.20241018.X2.28460385.0.00000000@bma.eplus.jp>,2024-10-18T14:03:25+09:00
e+,lottery_lost,paper,Empty old City/CLAN QUEEN/はしメロ,WALL&WALL,,2024-12-01,2024/12/01(日)  17:30開場 18:00開演,数,,1,,,,<1729140771000.20241017.03.27369401.0.00000000@bma.eplus.jp>,2024-10-17T15:05:05+09:00
e+,ticket_secured,digital,紫 今,UNIT(代官山),,2024-10-24,2024/10/24 (木) 19:30 開演,,,,,,,<1729145307316.20241017.X1.28427436.0.00000000@bma.eplus.jp>,2024-10-17T15:08:27+09:00
e+,payment_pending,digital,ロクデナシ,Zepp Shinjuku,,2025-03-21,2025/03/21(金)  18:00開場 19:00開演,数,,1,,,,<1728904118000.20241014.01.26822492.0.00000000@bma.eplus.jp>,2024-10-14T20:08:40+09:00
e+,ticket_secured,paper,meiyo,WWW,東京,2024-12-11,2024/12/11(水)  18:30開場 19:30開演,"料金 : スタンディング \4,000×1枚[チケット料金]",,1,,【発券開始】12/4(水)14時 ◆12/4(水)以降はお支払タイミングにより発,,<1728877768000.20241014.10.26720140.0.00000000@bma.eplus.jp>,2024-10-14T12:49:31+09:00
e+,ticket_secured,digital,ReoNa,東京ガーデンシアター,東京,2024-10-20,2024/10/20 (日) 18:00 開演,,,,,,,<1728799488589.20241013.X1.28327167.0.00000000@bma.eplus.jp>,2024-10-13T15:04:48+09:00
e+,ticket_secured,digital,ポップしなないで,下北沢シャングリラ,東京,2024-10-14,2024/10/14 (月) 17:00 開演,,,,,,,<1728626596106.20241011.X1.28229240.0.00000000@bma.eplus.jp>,2024-10-11T15:03:16+09:00
e+,ticket_secured,digital,ポップしなないで,下北沢シャングリラ,東京,2024-10-14,2024/10/14 (月) 17:00 開演,,,,,,,<1728709388669.20241012.X2.28306393.0.00000000@bma.eplus.jp>,2024-10-12T14:03:08+09:00
e+,payment_pending,digital,Empty old City/CLAN QUEEN/はしメロ,WALL&WALL,,2024-12-01,2024/12/01(日)  17:30開場 18:00開演,数,,1,,,,<1727885566000.20241003.01.23733214.0.00000000@bma.eplus.jp>,2024-10-03T01:12:47+09:00
e+,payment_pending,digital,紫 今,UNIT(代官山),,2024-10-24,2024/10/24(木)  19:00開場 19:30開演,数,,1,,,,<1727499143000.20240928.02.22612531.0.00000000@bma.eplus.jp>,2024-09-28T15:08:40+09:00
e+,payment_pending,digital,紫 今,UNIT(代官山),,2024-10-24,2024/10/24(木)  19:00開場 19:30開演,数,,1,,,,<1727349324000.20240926.01.22139522.0.00000000@bma.eplus.jp>,2024-09-26T20:15:25+09:00
e+,ticket_secured,digital,TOKYO CALLING 2024,Spotify O-EAST 他15会場,東京,2024-09-16,2024/09/16 (月) 12:30 開演,,,,,,,<1726207416430.20240913.X1.27660998.0.00000000@bma.eplus.jp>,2024-09-13T15:03:36+09:00
e+,ticket_secured,digital,TOKYO CALLING 2024,Spotify O-EAST 他15会場,東京,2024-09-16,2024/09/16 (月) 12:30 開演,,,,,,,<1726290159864.20240914.X2.27706597.0.00000000@bma.eplus.jp>,2024-09-14T14:02:39+09:00
e+,unknown,paper,新宿LOFT歌舞伎町移転25周年記念,新宿 LOFT,東京,2024-10-29,2024/10/29(火)  18:15開場 19:00開演,"料金 : オールスタンディング \4,200×1枚[チケット料金]",,1,,2024/09/10(火) 13:32 〜 2024/10/30(水) 21:0,,<1725770042000.20240908.10.18601674.0.00000000@bma.eplus.jp>,2024-09-08T13:34:04+09:00
e+,print_pending,paper,新宿LOFT歌舞伎町移転25周年記念,新宿 LOFT,東京,2024-10-29,2024/10/29(火)  18:15開場 19:00開演,"料金 : オールスタンディング \4,200×1枚[チケット料金]",,1,,2024/09/10(火) 13:32 〜 2024/10/30(水) 21:0,,<1725770042000.20240908.20.18601689.0.00000000@bma.eplus.jp>,2024-09-08T13:34:16+09:00
e+,payment_pending,digital,長瀬有花×アザミ,WWW,東京,2024-11-02,2024/11/02(土)  19:00開場 19:30開演,数,,1,,,,<1725338138000.20240903.02.17351078.0.00000000@bma.eplus.jp>,2024-09-03T14:00:12+09:00
e+,ticket_secured,digital,美波,日比谷公園大音楽堂(日比谷野音),,2024-09-08,2024/09/08 (日) 18:00 開演,,,,,,,<1725598935805.20240906.X2.27533830.0.00000000@bma.eplus.jp>,2024-09-06T14:02:15+09:00
e+,ticket_secured,digital,美波,日比谷公園大音楽堂(日比谷野音),,2024-09-08,2024/09/08 (日) 18:00 開演,,,,,,,<1725170497492.20240901.X1.27467060.0.00000000@bma.eplus.jp>,2024-09-01T15:01:37+09:00
e+,ticket_secured,digital,,,,,,,,,,,,<06ddc4df-c376-4248-9234-954b6ec12b28@fc8471-d.cuenote.jp>,2024-08-26T15:00:05+09:00
e+,ticket_secured,digital,新宿LOFT歌舞伎町移転25周年記念meiyo×新宿LOFT presents 「aufgieβer 3rd set」,新宿 LOFT,東京,2024-08-28,2024/08/28 (水) 19:00 開演,,,,,,,<1724648542592.20240826.X2.27384688.0.00000000@bma.eplus.jp>,2024-08-26T14:02:22+09:00
e+,ticket_secured,digital,,渋谷WWW,東京,2024-08-16,2024/08/16(金),,,,,,,<1724404389000.20240823.71.15026926.0.00000000@bma.eplus.jp>,2024-08-23T18:13:30+09:00
e+,ticket_secured,digital,ぼっちぼろまる presents 「ともだち100にんできるかな!vol.5」ぼっちぼろまる × ポップしなないで 2マ,大塚 Live House Hearts+,,2024-08-24,2024/08/24 (土) 18:30 開演,,,,,,,<1724303030575.20240822.X2.27270484.0.00000000@bma.eplus.jp>,2024-08-22T14:03:50+09:00
